Sr.No,COLLEGE/UNIVERSITY,                                             Undergraduate  Course,Post Graduate Course,WEBISTE,
,,Bachelor of Technology specialization in Mechanical Engineering,Master of Technology specialization in Textile Technology,
,,Bachelor of Technology specialization in Petroleum Engineering,Master of Technology specialization in Thermal Engineering,
,,Bachelor of Technology specialization in Production and Industrial Engineering,Master of Technology specialization in Transportation Engineering,
,,Bachelor of Technology specialization in Textile Chemistry,Master of Technology specialization in Very Large Scale Integration,
,,Bachelor of Technology specialization in Textile Engineering, Design,
,,Bachelor of Technology specialization in Textile Technology,Master of Technology specialization in Power Electronics & Electric Drives,
,,Bachelor of Technology specialization in Mining Engineering,Master of Architecture specialization in Urban Design,
,,Bachelor of Technology specialization in Petrochemical Engineering,Doctorate in Engineering,
,,,Doctorate in Management,
,,,Doctorate in Computer Applications,



3,"Maharishi Arvind International Institute of Technology, Kota",Bachelor of Business Administration,Master in Business Administration,"https:,,www.maism.org,"
,,Bachelor of Commerce,Master of Computer Application,
,,Bachelor of Computer Application,Doctor of Philosophy in Computer Science,



4,Modi Institute of Management & Technology,Bachelor of Computer Applications,Master of Computer Applications,"https:,,www.modiedukota.org,"
,,Bachelor of Business Administration,Master of Science specialization in Physics,
,,Bachelor of Commerce,Master of Science specialization in Chemistry,
,,Bachelor of Arts,Master of Science specialization in Botany,
,,Bachelor of Science specialization in Mathematics,Master of Science specialization in Zoology,
,,Bachelor of Science specialization in Biology,Master of Science specialization in Mathematics,
,,Bachelor of Science specialization in Microbiology,Master of Science specialization in Microbiology,
,,Bachelor of Science specialization in Biotechnology,,



5,Om Kotari Institute of Management & Research,Bachelor of Business Administration,Post Graduate Diploma in Elementary Education,https://www.okedu.in/
,,Bachelor  of Computer Applications,Master of Business Administration with Dual Specialization,
,,Bachelor of Commerce,Masters in Social Work,
,,Bachelor of Arts,,
,,Bachelor of Science,,
,,Bachelors in Education,,




6,Vardhman Mahaveer Open University,Bachelor of Education,Master of Business Administration,"https:,,www.vmou.ac.in,"
,,Bachelor in Library and Information Science,Master of Arts specialization in Economics,
,,Bachelor of Arts Additional Economics,Master of Arts specialization in Education,
,,Bachelor of Arts Additional Education,Master of Arts specialization in English,
,,Bachelor of Arts Additional English,Master of Arts specialization in Geography,
,,Bachelor of Arts Additional Gandhi and Peace Studies,Master of Arts specialization in Hindi,
,,Bachelor of Arts Additional Geography,Master of Arts specialization in History,
,,Bachelor of Arts Additional Hindi Literature,Master of Arts specialization in Mathematics,
,,Bachelor of Arts Additional History,Master of Arts specialization in Police Administration,
,,Bachelor of Arts Additional Journalism and Mass Communication,Master of Arts specialization in Political Science,
,,Bachelor of Arts Additional Mathematics,Master of Arts specialization in Psychology,
,,Bachelor of Arts Additional Political Science,Master of Arts specialization in Public Administration,
,,Bachelor of Arts Additional Psychology,Master of Arts specialization in Rajasthani,
,,Bachelor of Arts Additional Public Administration,Master of Arts specialization in Sanskrit,
,,Bachelor of Arts Additional Rajasthani,Master of Arts specialization in Sociology,
,,Bachelor of Arts Additional Sanskrit,Master of Commerce,
,,Bachelor of Arts Additional Sociology,Master in Computer Application,
,,Bachelor of Arts Additional Urdu,Master of Journalism,
,,Bachelor of Arts Programme specialization in General Education,Master of Library and Information Science,
,,Bachelor of Arts Programme specialization in Computer Science,Master of Science specialization in Computer Science,
,,Bachelor of Arts Programme specialization in Information Technology,"Master of Science specialization in Chemistry,",
,,Bachelor of Arts Programme specialization in Home Management,"Master of Science specialization in Geography,",
,,Bachelor of Business Administration,"Master of Science specialization in Mathematics,",
,,Bachelor of Commerce Programme,Master of Social Work,
,,Bachelor of Computer Application,Master of Science specialization in Botany,
,,Bachelor of Journalism,Master of Science specialization in Physics,
,,Bachelor of Science Additional Bio Technology,Master of Science specialization in Zoology,
,,Bachelor of Science Additional Botany,Diploma in Apabhrasha Language,
,,Bachelor of Science Additional Chemistry,Diploma in Culture and Tourism,
,,Bachelor of Science Additional Economics,Diploma in Library and Information Science,
,,Bachelor of Science Additional Geography,Diploma in Mass Communication,
,,Bachelor of Science Additional Mathematics,Diploma in Prakrit Language,
,,Bachelor of Science Additional Physics,Diploma in Social Problem in Rajasthan,
,,Bachelor of Science Additional Zoology,Diploma in Watershed Management,
,,Bachelor of Social Work,Diploma in Yoga Science,













